age,sex,act.level,eer
27,m,act,3047.8600000000006
28,m,act,3038.330000000001
29,m,act,3028.8000000000006
30,m,act,3019.270000000001
31,m,act,3009.7400000000007
32,m,act,3000.210000000001
33,m,act,2990.6800000000007
34,m,act,2981.1500000000005
35,m,act,2971.620000000001
36,m,act,2962.0900000000006
37,m,act,2952.560000000001
38,m,act,2943.0300000000007
39,m,act,2933.500000000001
40,m,act,2923.9700000000007
41,m,act,2914.4400000000005
42,m,act,2904.9100000000008
43,m,act,2895.3800000000006
44,m,act,2885.850000000001
45,m,act,2876.3200000000006
46,m,act,2866.790000000001
47,m,act,2857.2600000000007
48,m,act,2847.7300000000005
49,m,act,2838.2000000000007
50,m,act,2828.6700000000005
51,m,act,2819.140000000001
52,m,act,2809.6100000000006
53,m,act,2800.080000000001
54,m,act,2790.5500000000006
55,m,act,2781.020000000001
56,m,act,2771.4900000000007
57,m,act,2761.960000000001
58,m,act,2752.4300000000007
59,m,act,2742.9000000000005
60,m,act,2733.370000000001
61,m,act,2723.8400000000006
62,m,act,2714.310000000001
63,m,act,2704.7800000000007
64,m,act,2695.250000000001
65,m,act,2685.7200000000007
66,m,act,2676.1900000000005
67,m,act,2666.6600000000008
68,m,act,2657.1300000000006
69,m,act,2647.600000000001
70,m,act,2638.0700000000006
71,m,act,2628.540000000001
72,m,act,2619.0100000000007
73,m,act,2609.4800000000005
74,m,act,2599.9500000000007
75,m,act,2590.420000000001
76,m,act,2580.890000000001
77,m,act,2571.3600000000006
78,m,act,2561.830000000001
79,m,act,2552.3000000000006
80,m,act,2542.770000000001
3,f,act,1226.1824000000001
4,f,act,1637.466
5,f,act,1606.666
6,f,act,1575.866
7,f,act,1545.066
8,f,act,1514.266
9,f,act,1231.1824000000001
10,f,act,1642.466
11,f,act,1611.666
12,f,act,1580.866
13,f,act,1550.066
14,f,act,1519.266
15,f,act,2031.3496
16,f,act,2000.5496
17,f,act,1969.7496
18,f,act,1938.9496000000001
19,f,act,1261.4868000000001
20,f,act,1614.2060000000001
21,f,act,1607.296
22,f,act,1600.386
23,f,act,1593.476
24,f,act,1586.566
25,f,act,2033.634
26,f,act,2026.7240000000002
27,f,act,2019.814
28,f,act,2012.904
29,f,act,2005.9940000000001
30,f,act,2568.352
31,f,act,2561.4419999999996
32,f,act,2554.5319999999997
33,f,act,2547.622
34,f,act,2540.7119999999995
35,f,act,2647.9849999999997
36,f,act,2641.075
37,f,act,2634.1649999999995
38,f,act,2627.2549999999997
39,f,act,2620.345
40,f,act,2613.4349999999995
41,f,act,2606.5249999999996
